1    0    0.719517 
2    0    0.611756 
3    0    0.676543 
4    0    0.610238 
5    2    0.630258 
6    0    0.642601 
7    0    0.653654 
8    0    0.637017 
9    0    0.692897 
10    1    0.685135 
11    0    0.555957 
12    0    0.663728 
13    0    0.626353 
14    1    0.641246 
15    0    0.608960 
16    4    0.704321 
17    1    0.661216 
18    0    0.596806 
19    2    0.705472 
20    1    0.693792 
21    1    0.643304 
22    0    0.670400 
23    1    0.603695 
24    2    0.652171 
25    2    0.664424 
26    2    0.778582 
27    1    0.640573 
28    2    0.683571 
29    2    0.727545 
30    0    0.717779 
31    1    0.632272 
32    3    0.789011 
33    1    0.715333 
34    1    0.707734 
35    1    0.744016 
36    1    0.642690 
37    0    0.590359 
38    3    0.661414 
39    1    0.699863 
40    2    0.665239 
41    1    0.690310 
42    4    0.773923 
43    3    0.859098 
44    4    0.753048 
45    3    0.720346 
46    2    0.662648 
47    5    0.700290 
48    1    0.674151 
49    3    0.837824 
50    1    0.670058 
51    3    0.707257 
52    3    0.726273 
53    3    0.672405 
54    3    0.711015 
55    4    0.745648 
56    5    0.761400 
57    1    0.636704 
58    6    0.793842 
59    3    0.776607 
60    4    0.667822 
61    4    0.716763 
62    4    0.736418 
63    4    0.656854 
64    3    0.614986 
65    5    0.753001 
66    6    0.676055 
67    5    0.647082 
68    5    0.743951 
69    4    0.689068 
70    11    0.867008 
71    7    0.633862 
72    7    0.677325 
73    3    0.714098 
74    4    0.720988 
75    5    0.615202 
76    8    0.656842 
77    6    0.632658 
78    13    0.740537 
79    5    0.776533 
80    9    0.779907 
81    15    0.868516 
82    5    0.778328 
83    22    0.902985 
84    9    0.756284 
85    12    0.870289 
86    11    0.855266 
87    14    0.925263 
88    17    0.735903 
89    26    1.092909 
90    19    0.817658 
91    14    0.871934 
92    9    0.682024 
93    11    0.623028 
94    9    0.658366 
95    11    0.613363 
96    27    0.833475 
97    30    0.657952 
98    70    1.535221 
99    99    0.000000 
100    100    0.000000 
